"last_name, first_name",player_id,year,pa,k_percent,bb_percent,xwoba,exit_velocity_avg,whiff_percent,ff_percentage,sl_percentage,ch_percentage,cu_percentage,si_percentage,fc_percentage,fs_percentage,kn_percentage,st_percentage,sv_percentage,fo_percentage,sc_percentage,k_minus_bb_percent,sw_percentage,pitcher_hand,cluster_group,cluster_name
"Sears, JP",676664,2025,583,20.1,6.2,0.319,89.2,21.6,40.1,6.8,15.0,3.6,6.8,0.7,,,27.0,,,,13.900000000000002,0.0,R,3,Four Seam and Changeup/Splitter
"Cabrera, Edward",665795,2025,581,25.8,8.3,0.312,90.3,29.4,13.0,17.3,25.8,23.6,20.4,,,,,,,,17.5,0.0,R,8,Changeup Specialist
"Vásquez, Randy",681190,2025,570,13.7,9.1,0.354,89.1,15.7,21.0,2.1,6.9,12.8,19.0,24.9,,,13.1,,,,4.6,0.0,L,7,Big Arsenal
"Imanaga, Shota",684007,2025,567,20.6,4.6,0.313,90.7,24.6,48.7,0.6,,1.6,1.2,,31.4,,16.5,,,,16.0,0.0,R,7,Big Arsenal
"Buehler, Walker",621111,2025,564,16.3,10.6,0.355,87.9,19.2,25.3,14.8,6.9,12.9,16.4,16.9,,,6.9,,,,5.700000000000001,0.0,R,2,4 seam + 12/6
"Cameron, Noah",702070,2025,556,20.5,7.7,0.313,87.9,26.6,26.4,14.1,18.6,19.3,,21.6,,,,,,,12.8,0.0,R,2,4 seam + 12/6
"Quintana, Jose",500779,2025,556,16.0,9.0,0.349,88.7,18.4,11.7,,22.2,13.7,43.8,,,,,8.6,,,7.0,0.0,R,8,Changeup Specialist
"Lord, Brad",695418,2025,546,19.8,7.9,0.335,88.5,21.3,48.5,20.2,13.1,,18.1,,,,0.1,,,,11.9,0.0,R,3,Four Seam and Changeup/Splitter
"Cecconi, Slade",677944,2025,545,20.0,5.9,0.343,91.7,22.5,43.6,18.2,7.5,16.5,11.0,3.1,,,0.2,,,,14.1,0.0,R,2,4 seam + 12/6
"Strider, Spencer",675911,2025,539,24.3,9.5,0.341,91.3,30.6,51.2,35.3,4.6,8.9,,,,,,,,,14.8,0.0,R,7,Big Arsenal
"Walker, Taijuan",592836,2025,538,16.0,7.8,0.33,89.6,18.5,9.5,11.3,,6.5,20.2,30.1,22.5,,,,,,8.2,0.0,R,4,Cutter/Sinker
"Heaney, Andrew",571760,2025,536,16.0,7.5,0.362,90.2,19.9,43.7,16.6,17.3,11.1,11.2,,,,,,,,8.5,0.0,R,2,4 seam + 12/6
"Gilbert, Logan",669302,2025,535,32.3,5.8,0.275,90.8,32.9,36.7,35.3,,7.5,1.0,,19.6,,,,,,26.499999999999996,0.0,R,7,Big Arsenal
"Kirby, George",669923,2025,524,26.1,5.5,0.306,90.6,26.7,28.8,,2.1,11.3,26.8,,2.8,,28.2,,,,20.6,0.0,R,2,4 seam + 12/6
"Taillon, Jameson",592791,2025,519,18.9,5.2,0.305,88.3,20.8,38.0,,11.2,13.3,7.3,14.6,,,15.6,,,,13.7,0.0,R,2,4 seam + 12/6
"Houser, Adrian",605288,2025,518,17.8,7.3,0.312,90.2,18.1,11.7,15.4,15.3,11.7,45.9,,,,,,,,10.5,0.0,R,6,Primary Sinker
"Falter, Bailey",663559,2025,518,15.6,8.9,0.34,90.5,18.1,50.8,18.1,,12.6,9.8,,7.7,,,0.9,,,6.699999999999999,0.0,R,2,4 seam + 12/6
